vegetable_name,current_price_rs,prev_week_price_rs,current_supply_kg,current_demand_kg,supply_demand_ratio,month,festival_next_week,rainfall_mm,num_farmers_producing,cold_storage_available,district,crash_alert,crash_severity,predicted_price
Carrot,81.0,92.29653488798398,966.0,4926,0.1961023142509135,11,0,141.6145155592091,126,1,Chennai,0,None,73.233468807592
Onion,39.0,38.41249012658111,1684.0,3885,0.43346203346203344,12,0,4.6124850082831514,31,0,Erode,0,None,39.19324235001544
Carrot,69.0,72.21158687490589,689.0,3234,0.21304885590599876,12,0,102.84688768272233,199,0,Coimbatore,0,None,70.27532105029618
Potato,16.0,15.491354391598666,2935.0,1100,2.668181818181818,3,0,3.193250444042839,69,1,Trichy,0,None,15.138860241990878
Brinjal,80.0,91.51989304904387,1275.0,4514,0.28245458573327425,12,0,51.75599632000338,44,1,Vellore,0,None,82.60035654966372
Onion,63.0,70.47709903945065,2000.0,661,3.02571860816944,6,0,65.30815376116708,199,1,Tirunelveli,0,None,63.887594077508034
Brinjal,94.0,99.21426609232454,837.0,1378,0.6074020319303338,8,0,193.0510614528276,62,1,Salem,0,None,96.01224385650967
Ladies Finger,98.0,126.88596791474026,2527.0,3195,0.790923317683881,1,0,142.26839054973,148,0,Salem,0,None,103.68744059441163
Potato,50.0,63.29919351087562,700.0,3604,0.19422863485016648,10,0,133.18447132349934,160,1,Trichy,0,None,50.91297787707727
Beans,74.0,77.93463549271218,3190.0,4340,0.7350230414746544,3,0,154.1934359909122,14,1,Madurai,0,None,73.90817482619299
Tomato,86.0,84.33914056033763,1363.0,3290,0.4142857142857143,10,0,27.86629088117514,105,1,Coimbatore,0,None,87.79597892357847
Carrot,22.0,20.477423206493377,2222.0,3814,0.5825904562139486,4,0,124.87080962675864,95,1,Madurai,0,None,21.100788217685942
Ladies Finger,37.0,36.532918470809136,1863.0,2481,0.750906892382104,12,0,24.41759094013467,84,1,Tirunelveli,0,None,35.936604001769616
Beans,36.0,38.55035215621809,3175.0,1782,1.781705948372615,1,0,23.97307346673656,164,1,Salem,0,None,34.83082923410612
Carrot,41.0,45.4081661965912,3804.0,4263,0.8923293455313159,6,0,50.78308278686894,122,0,Madurai,0,None,38.924383715276534
Carrot,65.0,59.45906063121785,2660.0,4597,0.5786382423319556,3,0,6.610146580109677,139,1,Coimbatore,0,None,62.98592622434688
Tomato,21.23526236296717,57.19300308894954,10596.141986202236,4010,2.642429422993076,5,0,126.4611661187159,47,1,Coimbatore,1,High,21.80237005121891
Potato,82.0,84.32158613107295,3897.0,3011,1.294254400531385,1,0,44.04820951310966,157,1,Vellore,0,None,85.4628523319835
Carrot,80.0,77.57972572815973,3476.0,2459,1.4135827572183814,4,0,135.13802340785614,137,1,Madurai,1,Low,83.76345790785236
Onion,16.0,18.623897894618747,1123.0,1516,0.7407651715039578,10,0,18.620553561179843,122,0,Vellore,0,None,17.271090425450648
Ladies Finger,18.0,18.20787373866371,2182.0,2755,0.7920145190562613,11,1,177.55401975219195,161,1,Erode,0,None,19.26334241556305
Tomato,62.34895380794501,105.30154231743612,8896.481900390143,3057,2.9102001636866675,8,0,109.74675787331722,155,0,Tirunelveli,1,Medium,64.74184677132665
Cabbage,42.0,38.103666108740754,4993.0,1800,2.773888888888889,9,0,169.8446820988356,57,1,Trichy,0,None,43.323948295322886
Tomato,95.0,95.57768997190556,2193.0,3936,0.5571646341463414,3,0,126.22772519945258,60,1,Madurai,0,None,100.60141476729133
Beans,73.0,90.93369290009957,3567.0,1315,2.7125475285171103,12,0,8.72075435088675,156,1,Salem,0,None,80.22043745764118
Beans,15.0,15.720952201532667,1560.0,2827,0.5518217191368943,5,0,193.3309638087339,102,1,Trichy,0,None,16.390859931267762
Tomato,23.753039147544776,50.85864141287645,6831.007133393467,3894,1.7542391200291387,5,0,19.435298754153706,63,1,Trichy,0,None,24.29939337915196
Beans,36.0,36.652184473232715,4557.0,1284,3.5490654205607477,2,0,71.89823024395103,113,1,Vellore,0,None,34.513861278704354
Carrot,59.0,73.56290671849045,1024.0,3450,0.29681159420289854,3,0,38.85479070240845,66,1,Coimbatore,0,None,53.937102820599144
Beans,96.0,87.46048403995026,3274.0,2482,1.3190975020145044,12,0,196.3681776621062,95,1,Erode,0,None,102.5075232397318
Onion,61.0,55.84756752007793,4354.0,2991,1.455700434637245,1,0,124.57809516380006,17,1,Tirunelveli,0,None,55.94123907292397
Ladies Finger,56.0,66.06907352118515,4864.0,4965,0.9796576032225579,4,0,8.213503353575158,133,1,Erode,0,None,54.8667940961817
Potato,64.0,64.02202950007452,616.0,3338,0.18454164170161774,10,0,34.658864014169154,149,1,Chennai,0,None,59.6023941461899
Onion,57.0,55.46934473404661,3843.0,4570,0.8409190371991248,6,0,83.92001248555798,78,1,Erode,0,None,54.124133280313195
Cabbage,95.0,86.04695256793073,4545.0,1743,2.6075731497418246,5,0,195.90210572430172,78,0,Madurai,0,None,88.83127512789743
Cabbage,57.0,69.69761587675778,2135.0,2257,0.9459459459459459,10,0,177.3360774596095,19,1,Coimbatore,0,None,54.27418730609554
Onion,67.0,73.72786888892895,1515.0,1848,0.8198051948051948,3,0,188.77832091215143,13,1,Coimbatore,0,None,72.95297140147726
Brinjal,93.0,105.1076394169827,4246.0,2927,1.4506320464639562,11,0,77.22052756015485,198,1,Erode,1,Low,101.5781444871248
Onion,38.0,35.25429177330251,3873.0,4469,0.8666368315059297,12,0,131.14452707614842,44,1,Madurai,0,None,37.129014319338296
Onion,16.0,15.1562548967786,2016.0,3646,0.5529347229840922,2,0,83.58920634311575,166,0,Coimbatore,0,None,17.496257764864794
Brinjal,82.0,92.44746530699864,3286.0,1622,2.025893958076449,5,0,68.16070805060357,45,1,Coimbatore,0,None,89.06442013989847
Ladies Finger,64.0,76.82229933546233,3414.0,4452,0.7668463611859838,1,0,59.52703490186217,121,1,Chennai,0,None,58.879806555671856
Brinjal,28.0,26.222410780004697,3002.0,2319,1.2945235015092713,9,0,98.605131554361,137,1,Chennai,0,None,25.666392702693454
Ladies Finger,34.0,38.13036151190289,4136.0,3722,1.1112305212251479,12,0,18.241220609738072,153,1,Madurai,0,None,33.96205807197755
Carrot,14.0,16.727399118029652,1232.0,4830,0.25507246376811593,10,1,167.39277484747475,85,1,Tirunelveli,0,None,15.027232374870358
Beans,51.0,53.99169267986674,3181.0,1717,1.8526499708794408,8,0,116.26108344535646,14,1,Vellore,0,None,54.70401292428784
Beans,80.0,103.55203404233187,1655.0,2327,0.7112161581435325,1,0,75.59751802445089,168,1,Chennai,0,None,83.28134982874657
Onion,48.0,51.54147541417481,4768.0,1743,2.7355134825014344,3,0,23.505249355420975,135,0,Coimbatore,0,None,49.43241890031422
Tomato,72.0,78.55818885735056,1323.0,1428,0.9264705882352942,9,0,160.42184980534682,175,1,Chennai,0,None,78.8817696300615
Ladies Finger,89.0,98.88615948347228,4798.0,3311,1.4491090305043794,5,0,104.61956883402976,173,1,Trichy,1,Low,91.30329575880768
Beans,63.0,71.42472066046213,3203.0,970,3.302061855670103,1,0,78.90435972162597,21,1,Vellore,0,None,58.045126430792145
Ladies Finger,45.0,48.84657128891968,3245.0,1039,3.1231953801732435,10,0,6.463190221930093,50,0,Erode,0,None,43.01787156452051
Ladies Finger,38.0,36.224413903401,3824.0,4985,0.7671013039117353,12,0,116.23252423616526,91,1,Chennai,0,None,41.18574179395026
Onion,14.0,12.74765505718461,2324.0,4969,0.46769973837794326,2,0,197.05721013310088,74,1,Erode,0,None,13.654869115826235
Onion,95.0,117.00824038684755,4500.0,2133,2.109704641350211,9,0,11.275099330185423,114,1,Vellore,0,None,101.92972514884602
Tomato,12.0,13.46607218689261,4136.0,3224,1.28287841191067,6,0,90.1088270620187,92,0,Trichy,0,None,11.109982596363588
Potato,71.0,88.84146695640906,2323.0,2581,0.9000387446726075,4,0,4.436948406060326,101,0,Trichy,0,None,70.97394565037169
Beans,59.0,73.21148340751755,1577.0,735,2.145578231292517,3,0,117.99117942752721,142,0,Tirunelveli,0,None,58.76454241081801
Carrot,94.0,108.63998702223152,2622.0,2650,0.9894339622641509,5,0,196.09254501847556,175,1,Vellore,0,None,96.03205157138746
Onion,60.0,75.69980866784996,1831.0,4844,0.37799339388934766,11,0,124.4173400455747,88,1,Tirunelveli,0,None,64.34836450496095
Ladies Finger,19.0,24.14206595122736,3332.0,4079,0.8168668791370434,4,0,196.0065150570954,93,1,Trichy,0,None,18.971948757172907
Ladies Finger,52.0,51.795028870586414,2406.0,1260,1.9095238095238096,11,0,128.17494896064292,89,0,Tirunelveli,0,None,48.69155287775111
Cabbage,76.0,84.063176067872,1171.0,2469,0.47428108545970027,3,0,8.173723253295773,70,0,Salem,0,None,70.96781295869691
Brinjal,30.0,33.5845837104889,1023.0,2893,0.35361216730038025,6,0,100.68345417097137,55,1,Coimbatore,0,None,31.142368971776193
Tomato,26.65103403982667,88.60684321405714,6978.707985881581,3378,2.065928947863109,9,0,149.65193807673168,45,1,Vellore,1,High,24.969465829430067
Carrot,95.0,94.47242825846138,4623.0,2625,1.7611428571428571,8,0,50.48738886880415,139,1,Vellore,0,None,99.0536421318065
Carrot,27.0,29.132053561693308,2406.0,3586,0.6709425543781372,11,0,4.014239555545274,128,1,Vellore,0,None,26.039227494149163
Carrot,53.0,52.644187924855785,4096.0,3783,1.0827385672746497,10,0,99.68843978581145,147,1,Tirunelveli,0,None,48.621355053726695
Carrot,17.0,19.28844095569316,2972.0,3160,0.9405063291139241,2,0,121.51104445871457,15,1,Tirunelveli,0,None,16.130800728579825
Potato,42.0,37.926577300652454,2824.0,2233,1.264666368114644,6,0,32.13627465191114,79,0,Trichy,0,None,39.36716300203097
Beans,64.0,79.16323930363345,742.0,3090,0.2401294498381877,8,0,199.45110695367887,49,1,Tirunelveli,0,None,69.07661136606747
Brinjal,13.0,11.72756003326755,617.0,3428,0.17998833138856477,11,0,143.69145416731072,188,1,Chennai,0,None,13.091095503316769
Onion,14.0,13.64744499192213,1641.0,2310,0.7103896103896103,12,0,22.967364947840707,29,0,Madurai,0,None,14.309736118836572
Cabbage,20.0,25.456114738055472,2526.0,4244,0.5951932139491046,5,0,26.88293538779485,143,1,Tirunelveli,0,None,18.25349988189107
Brinjal,11.0,10.28661968946769,1842.0,2876,0.6404728789986092,8,0,94.63324021037845,26,0,Coimbatore,0,None,11.233424138322846
Potato,78.0,96.11532552297714,735.0,2469,0.2976913730255164,1,0,41.00036201064745,129,1,Tirunelveli,0,None,76.11596592543529
Tomato,73.0,88.52022286714131,4350.0,1372,3.1705539358600583,12,0,37.28099735762882,23,1,Tirunelveli,1,Low,69.141099492549
Beans,98.0,122.58626119987386,2636.0,2949,0.8938623262122753,4,0,142.7564909710652,49,1,Coimbatore,0,None,105.8334819277266
Ladies Finger,32.0,34.41593184497074,1492.0,3212,0.46450809464508097,1,0,124.84759918279842,62,1,Tirunelveli,0,None,29.54814746053353
Beans,60.0,62.03773475177006,2535.0,977,2.59467758444217,7,0,62.34441355910965,164,1,Madurai,0,None,56.98186967777359
Carrot,95.0,112.63443512449734,2365.0,3412,0.6931418522860492,4,0,22.126347391041445,127,1,Salem,0,None,101.58259354295585
Cabbage,24.0,29.254035511483714,3728.0,2871,1.2985022640195054,8,0,2.4406144636089033,85,1,Chennai,0,None,24.47252496578509
Brinjal,52.0,59.259810787368394,4606.0,3825,1.2041830065359478,10,1,84.71937248409658,47,0,Chennai,0,None,49.794468011347554
Potato,22.0,21.024222508458944,3781.0,1484,2.547843665768194,10,0,113.02663671784178,113,1,Chennai,1,Low,22.86526362505833
Cabbage,40.0,45.7074407421257,4646.0,4033,1.1519960327299776,8,0,182.1372396511426,49,1,Trichy,0,None,36.98248625476587
Ladies Finger,45.0,42.74392826165881,3372.0,3572,0.9440089585666294,10,1,121.57887875885174,64,0,Trichy,0,None,43.91375128546994
Ladies Finger,61.0,74.12207328463363,1074.0,1036,1.0366795366795367,10,1,69.39064037924554,47,1,Salem,0,None,63.89751522693893
Tomato,60.0,59.95743462617165,4620.0,2490,1.855421686746988,12,0,72.47877982332662,189,1,Madurai,1,Low,60.96706020333652
Beans,94.0,103.97053045849617,3932.0,1188,3.3097643097643097,12,0,199.37485036918946,157,1,Coimbatore,0,None,94.04126619422736
Tomato,60.0,59.037734234294064,1222.0,3889,0.31421959372589353,7,0,124.99519741021045,41,1,Tirunelveli,0,None,58.53271136928203
Cabbage,27.0,27.475682535586493,3557.0,4789,0.7427437878471497,3,0,111.92806626164358,122,1,Erode,0,None,25.13829732802585
Tomato,12.0,12.591884718142813,1981.0,2401,0.8250728862973761,7,0,5.077271132068972,171,1,Vellore,0,None,11.174766233678858
Onion,74.0,82.93098881967646,2990.0,827,3.615477629987908,8,0,177.4920965027006,63,1,Vellore,0,None,74.83947945479383
Cabbage,97.0,115.32395695599958,3691.0,3038,1.2149440421329822,3,0,133.61702731412925,153,1,Coimbatore,0,None,91.27669533106693
Carrot,16.0,18.452740959430148,2698.0,3656,0.7379649890590809,2,0,175.28881517505877,156,0,Vellore,0,None,16.45736180356561
Onion,56.0,64.39465247136883,4094.0,1909,2.144578313253012,1,0,81.88233043824809,128,0,Coimbatore,0,None,56.582928425542185
Onion,95.0,115.13083344194516,3261.0,3179,1.025794274929223,12,0,159.97105118946305,68,1,Trichy,0,None,93.57905658491543
Potato,49.0,57.797378721953734,1804.0,3930,0.4590330788804071,9,0,196.88043614071043,31,1,Salem,0,None,49.25176378656632
Ladies Finger,46.0,41.73838844847339,2675.0,4424,0.6046564195298373,7,0,54.8110441374412,51,1,Coimbatore,0,None,46.4984376231453
Tomato,95.0,90.70165394261468,1145.0,4763,0.2403947092168801,7,0,133.00733490925109,107,1,Chennai,0,None,88.83205429384554
Ladies Finger,94.0,99.0060086621811,3181.0,4129,0.7704044562848147,10,0,16.559733585025292,63,1,Salem,0,None,95.93925965796811
Onion,20.0,20.3095498941656,1636.0,686,2.3848396501457727,5,0,79.32987461041085,48,1,Trichy,1,Low,21.816347746158534
Beans,42.0,42.33450853618888,1250.0,2262,0.5526083112290009,8,0,119.36856978337784,90,1,Trichy,0,None,40.607648682862475
Onion,82.0,76.26451924093453,1740.0,560,3.107142857142857,5,0,15.186682073924418,180,1,Coimbatore,0,None,75.0753516428949
Brinjal,21.0,21.932180734296228,3615.0,4590,0.7875816993464052,3,0,190.0474707641605,58,0,Chennai,0,None,20.773224246423414
Carrot,92.0,109.74587581987186,3208.0,3652,0.8784227820372399,8,0,196.11536003599764,127,1,Chennai,0,None,99.42189415250286
