vegetable_name,month,year,prev_demand_kg,prev_price_rs,festival_week,school_holiday,season,city,rainfall_mm,temperature,supply_volume_kg,predicted_demand_kg,predicted_price_rs
Carrot,11,2023,304.9783369187336,48.99737905262277,1,0,Winter,Chennai,100.11258334170655,27.14300226882911,323.385423134793,291.4498510282614,50.08511485202022
Beans,2,2023,265.80596434539063,27.94381109236225,0,0,Monsoon,Tirunelveli,6.918727512424727,32.87161990387584,255.1589439526559,253.7560672893523,29.267664564609227
Carrot,3,2025,343.07514814385104,93.16161809868224,0,0,Summer,Tirunelveli,51.15723710618746,25.97577389477919,404.6757370209788,359.04982601660873,96.03469769546945
Tomato,5,2024,477.11992784537074,52.13659128904911,0,1,Summer,Coimbatore,148.55307303338105,25.515827816728276,555.2378961275574,465.61084006798484,52.98392708052173
Onion,6,2024,211.2869359442013,30.192107145260362,0,0,Summer,Tirunelveli,232.53984700833436,39.09248412346284,244.65568038373146,213.35543459940092,31.46583435582463
Cabbage,7,2023,856.1943225582401,61.9183772996211,0,0,Monsoon,Tirunelveli,161.90763971672393,33.80126748495772,1015.5339036060979,865.3585340771034,60.53140058332591
Ladies Finger,1,2023,624.4593140758915,23.428715009042733,1,0,Monsoon,Vellore,244.63842853645025,35.60286015771426,681.6615777052264,641.399043537955,22.43075636293278
Carrot,9,2025,296.9670404482922,24.81521462904822,0,0,Monsoon,Coimbatore,111.24547565947991,35.03261878995411,316.67642892385385,299.6782838297962,24.25618192322835
Potato,3,2023,649.2860907002976,26.72354360316694,0,0,Summer,Salem,231.2901539863683,32.40693394546586,655.1901346682943,644.5814298076874,25.455295337198617
Ladies Finger,7,2023,688.9254330601045,47.32118083493993,0,0,Monsoon,Madurai,181.32521378334516,33.0976163695251,607.0979633233301,719.4347418479916,47.7890238967434
Potato,12,2024,749.0779817278509,58.950326525827464,0,0,Winter,Tirunelveli,136.96037114487308,28.276606558252503,724.0617578304032,777.7886620065583,57.91483468906482
Carrot,9,2025,275.82924401443194,53.53597725363017,0,0,Monsoon,Chennai,0.15611309859474565,30.288532845012536,254.2904288225442,266.5794717632072,53.71847829165749
Beans,1,2025,712.3812130355892,32.08759669309688,0,0,Monsoon,Trichy,167.43060060520236,31.057542565870612,588.3961775133121,694.8506094425079,31.2753828121965
Carrot,3,2023,861.1660695780663,77.79386615297265,0,0,Summer,Coimbatore,292.98448674979585,31.16555519977347,700.3177235619089,847.8241311379167,78.83903720568964
Beans,5,2024,804.3474151537807,31.03281328443527,0,1,Summer,Coimbatore,228.48588459861529,28.564563159885996,877.773507194494,793.7125856100809,31.44339549816054
Beans,11,2025,682.6224571999978,26.244503658239182,0,0,Winter,Tirunelveli,12.232542466429175,33.86339414782363,731.1062255967691,649.6236567942326,26.27624128951666
Potato,7,2023,803.5486923352894,53.795242952093524,0,0,Monsoon,Chennai,102.31990531507755,26.702102818608836,940.053492979642,833.8697467328825,52.49308405752837
Brinjal,10,2023,1615.8985877288299,29.841189658036814,1,0,Winter,Erode,167.48803608212927,38.2395451478401,1414.6914901283544,1580.166440823562,30.439081258405835
Cabbage,4,2024,247.7430847117136,57.21006676313821,0,1,Summer,Madurai,48.48861422838413,38.47831282790619,258.2899101289271,235.58378106990358,54.930082799173725
Potato,2,2024,453.77164027834135,21.638237289910926,0,0,Monsoon,Salem,67.28079283816794,35.68268832021304,406.08007525785814,445.84877374240506,22.17160124129766
Cabbage,7,2025,504.25402305548994,52.091666399123106,0,0,Monsoon,Erode,190.8997854557686,28.75692727908376,522.3811176306143,528.4023880952615,52.02260406460244
Cabbage,11,2024,731.919646848295,50.42317511167589,0,0,Winter,Madurai,69.05558047246659,32.48790069827128,753.0001620710068,751.5756427793715,48.12188041796243
Brinjal,5,2024,196.69329021599748,102.92091994666329,0,1,Summer,Chennai,128.4552444951943,39.49982228565504,233.16966569741766,203.63674934332076,100.80536903423788
Ladies Finger,7,2023,331.5339850147126,22.24992555481674,0,0,Monsoon,Erode,280.8464322482343,35.440446950124596,340.8250485805209,318.179016786935,22.50581577804899
Beans,2,2025,273.1705520539401,63.9373771366013,0,0,Monsoon,Vellore,209.10472229858038,35.53726125980664,257.8174001380349,267.5320890688697,65.91535122352575
Potato,9,2023,835.2612735582973,78.969573990209,0,0,Monsoon,Coimbatore,58.28218605361267,26.064113754998914,800.776284785041,797.7387086696474,82.02267314520329
Carrot,2,2024,929.930299126077,40.55648240678775,0,0,Monsoon,Chennai,46.51248501832326,39.727613324657966,1056.0041123113617,963.4454165773766,39.543589776451995
Onion,6,2025,599.957179846147,70.82871335364533,0,0,Summer,Tirunelveli,64.74630824905296,34.343357137285004,500.4476736387892,573.0600028220309,71.05079417481028
Carrot,7,2023,489.1290207720795,71.74886676493244,0,0,Monsoon,Madurai,119.64627043343836,31.502811063711132,536.8763563707945,476.9428861426195,69.48399665067501
