land_area,soil_type,water_availability,irrigation_type,rainfall_mm,temperature_celsius,humidity_percent,season,previous_crop,market_demand_level,district,recommended_crop
7.803532317523569,Red,Low,Rainfed,1625.4747004637077,33.13070347482271,64.52080140694751,Summer,Banana,High,Chennai,Brinjal
3.2859029494778453,Loamy,Medium,Borewell,1948.8467486753902,38.313738097609274,51.67865108730519,Kharif,Rice,Medium,Tirunelveli,Beans
0.6377929517844894,Clay,High,Rainfed,1340.1499210280451,23.06886493434492,56.067955669437,Summer,Tomato,Low,Chennai,Rice
12.052084092809828,Loamy,High,Rainfed,1456.5228155992254,29.910983543329948,40.72957286379266,Kharif,Maize,Medium,Salem,Rice
0.8113419182941768,Sandy,Low,Tank,507.464999236124,30.893892022447943,41.89136866133701,Rabi,Rice,Medium,Erode,Onion
15.229547501194222,Sandy,Medium,Borewell,1948.2938671997495,37.05292211394452,91.6724417860304,Rabi,Onion,Medium,Vellore,Onion
18.47654758295078,Black,High,Canal,853.0615622975494,28.550900373168602,54.924196747564274,Kharif,Banana,Medium,Salem,Tomato
5.978222938903925,Black,High,Borewell,803.6649596969401,23.635872659386056,40.86000237076566,Kharif,Banana,High,Chennai,Tomato
6.223019407001743,Loamy,Low,Borewell,1509.281319672705,37.38386189168652,73.32779861295563,Rabi,Ladies Finger,Medium,Salem,Maize
18.341713673103726,Clay,Medium,Borewell,408.0491954862402,26.841611077744567,57.885082711471085,Summer,Banana,Medium,Madurai,Ladies Finger
11.444246804030172,Loamy,High,Rainfed,1512.5161382790916,36.73727106957175,70.87024586632229,Summer,Ladies Finger,Low,Salem,Rice
14.357926348872855,Sandy,Medium,Tank,483.41542588861756,20.691442085108154,75.00257261950793,Kharif,Onion,Medium,Trichy,Brinjal
5.361198468403061,Red,Low,Rainfed,645.2040820491079,40.74277855227558,72.93760065686948,Summer,Brinjal,Medium,Coimbatore,Maize
16.25834740150613,Clay,High,Canal,1076.1087698209474,24.805689618770337,62.90804713287014,Rabi,Ladies Finger,High,Vellore,Rice
18.183154610142203,Clay,High,Rainfed,1026.0832406646357,37.99632485029485,87.3401820790989,Summer,Brinjal,Low,Salem,Rice
9.954184441500173,Clay,Low,Canal,873.9457913861676,40.74401348607542,57.77616126114154,Kharif,Onion,High,Tirunelveli,Maize
19.449750613058733,Black,Medium,Rainfed,1145.3224600170552,26.619322815968932,55.66622719076072,Kharif,Rice,Medium,Coimbatore,Tomato
8.51522175970551,Red,High,Borewell,707.2552141338531,23.187687186006908,66.91990181526597,Rabi,Ladies Finger,Low,Madurai,Onion
7.7082618931973865,Clay,Low,Canal,925.2313256227305,33.91072827305875,74.84413409184921,Summer,Rice,High,Chennai,Brinjal
10.409876146444015,Red,Low,Tank,854.1301388432041,24.845303046442062,79.11322428409099,Summer,Tomato,Low,Chennai,Brinjal
18.840203657547278,Sandy,High,Rainfed,879.8127967854394,22.49641746729296,90.85814900532095,Rabi,Tomato,Low,Chennai,Onion
3.9116210783707555,Clay,High,Canal,1993.6312895884714,41.23922572835346,70.70613994839036,Summer,Ladies Finger,High,Salem,Rice
7.309586704946887,Loamy,Medium,Tank,1809.2091678936317,38.72042587288528,91.45992468215212,Rabi,Banana,Medium,Madurai,Onion
7.75951394795399,Clay,Low,Borewell,308.6046925385718,23.53777713118497,70.18035841516223,Rabi,Tomato,High,Salem,Onion
3.930542427208235,Black,High,Canal,853.1794868707551,36.42281091259653,75.7298094475968,Summer,Tomato,High,Erode,Brinjal
11.582017765041696,Black,Low,Rainfed,1381.765450916022,25.510160009322853,72.44289661582991,Rabi,Tomato,Medium,Erode,Tomato
12.807203206946626,Sandy,High,Canal,1396.6757154519603,34.71632931258819,87.52921607895468,Kharif,Tomato,Low,Erode,Rice
13.086709770189772,Clay,Medium,Borewell,775.2525810544896,39.4368684898577,81.12453256435776,Kharif,Banana,High,Salem,Brinjal
11.278916853292053,Loamy,High,Tank,800.5631165182956,28.472150029242357,86.81251693342713,Summer,Maize,High,Coimbatore,Beans
18.755018096135228,Sandy,Low,Tank,419.7074224442246,24.596211787537925,76.91289342532278,Summer,Maize,Low,Madurai,Brinjal
6.258166474169306,Sandy,High,Tank,1484.9267596919556,35.454649847716404,59.77201331708653,Kharif,Ladies Finger,Medium,Madurai,Rice
5.496035400091932,Red,Medium,Rainfed,1152.5777009682392,37.56249393726905,75.74801619277709,Rabi,Tomato,Low,Vellore,Banana
7.823867576478908,Sandy,Low,Rainfed,361.1018654544615,30.243156398914124,69.84545490891671,Kharif,Brinjal,Medium,Coimbatore,Brinjal
1.0947548738114639,Black,Medium,Canal,815.5513749444788,31.81581339832642,57.96581829878225,Kharif,Beans,Low,Chennai,Brinjal
16.919449962733637,Black,Medium,Rainfed,1489.1707583042296,23.04376803319163,47.30099822336334,Rabi,Tomato,High,Erode,Tomato
5.781228899610447,Black,Medium,Rainfed,726.4628964893241,24.055340835290142,44.44801316394587,Summer,None,High,Salem,Tomato
3.8792392413814927,Clay,Low,Canal,707.6385105675855,22.06521238178842,50.0576298409019,Kharif,Beans,High,Erode,Brinjal
10.57557701981805,Red,Medium,Borewell,1013.3201061272429,25.450081769025466,59.578497325819384,Kharif,Brinjal,High,Trichy,Banana
2.7634164898848668,Red,Low,Borewell,829.4026259652002,41.54923162967319,49.64316484391362,Rabi,Beans,Low,Chennai,Maize
3.8774364632452962,Red,Low,Canal,1346.945166688768,33.972060319088165,42.49172053746245,Summer,Tomato,Medium,Erode,Brinjal
17.201551903172284,Red,High,Tank,1346.9469794628535,40.76561530033666,91.93383784188421,Summer,Onion,Medium,Madurai,Rice
13.044120259625887,Clay,High,Rainfed,1695.087108764724,33.7706727422346,85.12347640741974,Rabi,Maize,High,Madurai,Rice
12.55595074458891,Clay,Medium,Tank,955.1742556414606,34.99550071740137,58.7343513205332,Summer,None,Low,Chennai,Ladies Finger
14.011361994492818,Sandy,High,Rainfed,1791.70242299599,36.17156296368549,84.19145117116668,Kharif,Onion,Medium,Trichy,Rice
15.136987656996737,Loamy,High,Rainfed,1001.450050749425,28.18439788744123,82.70271284080982,Summer,Beans,High,Vellore,Rice
15.141985821934199,Clay,Low,Borewell,942.1391064997013,31.755204417672395,67.31086548756927,Kharif,Brinjal,High,Madurai,Brinjal
2.449705299656336,Black,High,Borewell,1740.1433449625026,27.807914190179854,92.62404868195509,Summer,Onion,Low,Coimbatore,Rice
12.820825637311085,Red,High,Rainfed,1324.1495740319021,32.18146715160762,51.70003422633259,Kharif,Ladies Finger,High,Vellore,Rice
2.2785190094494623,Sandy,Medium,Rainfed,1993.0831114515595,21.2291654029017,80.53695562350549,Kharif,Maize,Low,Chennai,Brinjal
13.916585198413262,Sandy,High,Borewell,1725.4172983987746,29.374012451032705,52.24170296640668,Kharif,Maize,Low,Coimbatore,Rice
3.358794022994497,Red,High,Canal,1977.2872834519983,28.233957506634646,60.385318088679,Kharif,Ladies Finger,High,Trichy,Rice
15.190874612549361,Black,Low,Rainfed,1621.1497570766426,32.28489349418771,63.3322105085837,Rabi,Tomato,Low,Tirunelveli,Onion
10.106189533671753,Red,Medium,Tank,1271.504142848518,36.30142494003471,82.19571692097145,Summer,None,Low,Salem,Banana
13.780268828389726,Black,Medium,Borewell,937.2799851902969,26.285665898200936,87.77295205042032,Rabi,Beans,Medium,Coimbatore,Tomato
0.7370122564514187,Red,High,Rainfed,1814.9432932867207,31.609424399898597,94.61306378656153,Kharif,Onion,Low,Madurai,Rice
19.40139944457243,Sandy,Low,Borewell,668.5754811970351,26.478866830467457,94.77072562661539,Rabi,Brinjal,Low,Erode,Onion
14.873463763938876,Loamy,Medium,Tank,398.36862618810255,28.679479569378856,45.871583626473644,Kharif,Banana,Medium,Chennai,Beans
13.113543052540114,Sandy,Medium,Tank,432.14888284047424,41.436685768655664,94.24159094637815,Rabi,Rice,High,Salem,Onion
8.518531057007632,Red,High,Borewell,1848.5762136395322,38.09581934430972,92.23899523105582,Kharif,None,Medium,Coimbatore,Rice
18.688205425403257,Sandy,Low,Borewell,580.2182439329016,29.04761256487812,82.7681256054374,Rabi,Rice,Low,Trichy,Onion
15.116776849533405,Clay,Medium,Rainfed,1731.6021693307048,38.44323150364504,65.77812378872336,Summer,Rice,High,Erode,Ladies Finger
1.9695016768730151,Black,High,Borewell,1999.520044586422,41.92601041562592,70.54874380814451,Kharif,Beans,High,Coimbatore,Rice
17.068124118209525,Clay,High,Canal,648.5770584610923,25.531733669259566,55.11024883642499,Rabi,Rice,High,Erode,Onion
12.553500688928969,Black,Low,Tank,337.71406145151275,30.959634106209645,66.19158832339578,Summer,Maize,High,Tirunelveli,Brinjal
19.37548842607655,Loamy,High,Borewell,527.8258883660892,20.63321887889346,81.53254906204904,Kharif,Maize,Low,Madurai,Beans
18.111445644194212,Black,Medium,Canal,1333.7493442212049,34.006175075690216,70.51485846982241,Summer,Maize,High,Tirunelveli,Ladies Finger
9.292753724614036,Black,Medium,Rainfed,1190.123869225519,35.348121172856196,83.80594766206326,Rabi,Banana,High,Coimbatore,Onion
15.49389595565025,Black,High,Canal,1355.3696635175552,27.643094980959113,51.50219350931828,Summer,Tomato,Low,Salem,Rice
9.472323600179655,Loamy,Medium,Tank,1389.4870661654647,24.001361856781187,59.01170058281248,Summer,Tomato,Low,Trichy,Ladies Finger
19.475651810767033,Red,Medium,Rainfed,369.4766476530141,23.71657138758762,55.32246864675773,Kharif,Brinjal,High,Tirunelveli,Banana
2.852399486461716,Clay,Medium,Canal,919.2587637817282,31.07517995880685,77.97171557461509,Kharif,None,Low,Salem,Brinjal
13.91180198337362,Loamy,Low,Tank,403.83253175326837,26.09130825923848,84.34107038861838,Kharif,Tomato,High,Chennai,Beans
4.582311805065851,Sandy,Low,Canal,1086.3090174263514,36.44436063894264,42.017576158982884,Summer,Ladies Finger,Low,Vellore,Maize
16.96659311635576,Loamy,Low,Tank,482.19241927761925,29.843072070116,69.29394965502627,Summer,None,Low,Trichy,Beans
4.054535630281182,Clay,High,Rainfed,451.6473588104955,31.777382408341516,52.826902635239065,Kharif,Onion,High,Chennai,Brinjal
7.424533913946442,Clay,High,Canal,447.76448974862024,31.816343920008052,72.27626149114835,Kharif,Tomato,Medium,Salem,Brinjal
7.080213260502402,Black,Medium,Tank,1270.32311793715,27.83412796975262,94.25833868361389,Kharif,None,High,Trichy,Tomato
2.484758216097873,Black,Medium,Rainfed,449.40896171824454,37.72902750830515,43.060941914633645,Kharif,Ladies Finger,Low,Madurai,Brinjal
0.8557283878530404,Red,Low,Canal,976.3545183777608,41.32834953205811,87.60289192416892,Rabi,Brinjal,High,Tirunelveli,Maize
3.8323079541062834,Loamy,Medium,Borewell,1521.3773604221412,31.77080810498803,66.21407162695266,Kharif,Beans,Medium,Coimbatore,Beans
6.811745109882752,Loamy,High,Tank,712.0965451056363,22.526410144262478,73.5841023342898,Rabi,Beans,Medium,Madurai,Onion
18.674279674010215,Red,Low,Rainfed,388.1000125981258,27.40529412026625,47.39280723164359,Summer,Maize,High,Erode,Brinjal
16.29255169416538,Clay,Low,Borewell,304.60852900436043,22.567313411116988,66.02414105785408,Rabi,Ladies Finger,Low,Tirunelveli,Onion
2.580635377212003,Red,Medium,Tank,1940.5457481330714,22.734538916681984,80.19771113620044,Kharif,Maize,Low,Madurai,Banana
18.565763759999367,Black,High,Tank,1707.4995082017363,36.511042344836895,83.97454220057335,Summer,Beans,High,Trichy,Rice
5.095989048267495,Sandy,Medium,Tank,837.5341899040409,32.942746867491245,77.56401348794228,Summer,Banana,Medium,Erode,Ladies Finger
9.522255820557325,Clay,Low,Rainfed,1154.6246631572144,25.108679293229983,89.47660153010126,Summer,Maize,Medium,Trichy,Brinjal
18.176206163808665,Loamy,Low,Rainfed,1033.5978433319524,27.321947290074654,80.18020252451157,Rabi,Onion,Low,Vellore,Onion
12.591418740606013,Black,Medium,Rainfed,1274.3564437375608,41.949237550324554,81.38217160213526,Kharif,Beans,Low,Vellore,Brinjal
3.2909957181951577,Black,Medium,Canal,1596.179765759174,39.28884400875849,58.81449617937491,Rabi,Onion,High,Erode,Onion
12.277178505413994,Red,High,Borewell,689.7273718954905,35.88955650464746,79.6020095100341,Summer,Tomato,Low,Chennai,Brinjal
11.083126645278126,Loamy,Low,Borewell,1705.558007275433,41.09964548040861,58.838834144819884,Rabi,Banana,Low,Vellore,Maize
6.11462752127666,Loamy,Medium,Borewell,536.4975300432052,22.217481266349502,54.08085425195142,Summer,Onion,High,Erode,Ladies Finger
0.9489407933589316,Sandy,High,Tank,936.5401285247174,21.516273866078812,44.2526586018833,Rabi,Banana,High,Tirunelveli,Onion
18.258380865986403,Clay,Medium,Borewell,1974.2300382359688,38.45575790181055,46.856447466179674,Kharif,Rice,Low,Tirunelveli,Brinjal
10.617342113958406,Red,Low,Borewell,1565.224408133591,24.522755784264024,83.32844387929708,Rabi,None,Low,Vellore,Onion
8.58283939197074,Sandy,Low,Canal,888.7881904221341,27.63297044171701,80.56256864603617,Kharif,Tomato,Medium,Erode,Brinjal
11.763823104785171,Black,Medium,Borewell,1855.23803181577,27.97266578056593,71.93235926529239,Rabi,Maize,High,Salem,Tomato
3.9717013539601527,Black,High,Borewell,1247.4191271130815,38.93390439359615,69.42883454135122,Kharif,Ladies Finger,High,Erode,Rice
1.8079913090743358,Loamy,Low,Tank,1826.6922920492134,24.513072090604158,50.487824636501664,Kharif,Banana,Low,Coimbatore,Beans
6.233871244808945,Loamy,Low,Canal,1191.4634578568862,29.69678043264102,62.04196834814293,Rabi,Tomato,Low,Chennai,Onion
4.047598544657787,Red,Low,Rainfed,1580.5185752706664,25.99064080384659,89.35867254003864,Rabi,Rice,Low,Vellore,Onion
3.544975648640712,Sandy,Low,Borewell,993.5736421202361,32.137897095705476,53.96387102238174,Summer,Banana,Medium,Salem,Brinjal
16.098363664777192,Loamy,Low,Borewell,1246.4266941317223,35.85788811883114,84.29232320468478,Rabi,Banana,Medium,Madurai,Maize
19.271661711820055,Black,High,Canal,648.4733022068956,26.44925006574229,89.29847001866159,Summer,Ladies Finger,High,Vellore,Tomato
17.038497861604228,Red,Low,Tank,1392.9734581442306,35.48681497304721,90.08432019471672,Kharif,Onion,Low,Coimbatore,Maize
16.589592962741865,Loamy,Low,Rainfed,755.7081893988897,33.73127597268095,62.51764087051822,Rabi,None,Medium,Trichy,Onion
6.242082311067395,Black,Medium,Canal,1625.5899171396522,22.513234370248732,71.11771409816083,Summer,Ladies Finger,High,Coimbatore,Tomato
0.9381515122422892,Clay,Medium,Borewell,984.3350741148669,24.7965083648699,75.47797922731311,Rabi,Onion,Medium,Coimbatore,Onion
18.06115987410952,Sandy,Low,Borewell,331.26415013069345,40.11457374433098,46.476309558957766,Kharif,Brinjal,Medium,Salem,Maize
8.40233771653993,Sandy,Low,Borewell,318.69290871941683,23.01148386151376,89.50102530164578,Rabi,Banana,Medium,Chennai,Onion
